Genotype,BeakSize_PC1
SS,-0.226
SS,0.033
SS,0.113
SS,0.253
SS,0.293
SS,0.432
SS,0.492
SS,0.552
SS,0.572
SS,0.731
SS,0.831
SS,0.851
SS,0.991
SS,1.051
SS,1.11
SS,1.23
SS,1.37
SS,1.27
SS,1.449
SS,1.609
SS,1.709
SS,1.729
SS,1.809
SS,1.868
SS,1.928
SS,1.968
SS,1.928
SS,1.988
SS,1.988
SS,2.088
SS,2.068
SS,2.148
SS,2.207
SS,2.227
SS,2.347
SS,2.387
SS,2.407
SS,2.427
SS,2.427
SS,2.507
SS,2.646
SS,2.666
SS,2.666
SS,2.906
SS,2.906
SS,2.945
SS,2.945
SS,3.085
SS,3.065
SS,3.165
SS,3.105
SS,3.285
SS,3.364
SS,3.464
SS,3.604
SS,3.644
SS,3.863
SS,4.601
SL,-2.48
SL,-2.5
SL,-2.48
SL,-2.44
SL,-2.301
SL,-2.34
SL,-2.241
SL,-2.021
SL,-1.922
SL,-1.403
SL,-1.104
SL,-1.064
SL,-1.024
SL,-0.904
SL,-0.844
SL,-0.805
SL,-0.725
SL,-0.725
SL,-0.745
SL,-0.805
SL,-0.645
SL,-0.645
SL,-0.745
SL,-0.605
SL,-0.585
SL,-0.485
SL,-0.286
SL,-0.426
SL,-0.286
SL,-0.306
SL,-0.206
SL,-0.286
SL,-0.146
SL,-0.146
SL,-0.086
SL,-0.066
SL,-0.027
SL,-0.027
SL,-0.007
SL,0.033
SL,0.093
SL,0.113
SL,0.113
SL,0.113
SL,0.213
SL,0.233
SL,0.253
SL,0.312
SL,0.312
SL,0.372
SL,0.472
SL,0.492
SL,0.492
SL,0.632
SL,0.632
SL,0.711
SL,0.612
SL,0.632
SL,0.711
SL,0.711
SL,0.871
SL,0.871
SL,0.851
SL,0.891
SL,0.911
SL,1.031
SL,1.09
SL,1.011
SL,1.11
SL,1.17
SL,1.23
SL,1.35
SL,1.17
SL,1.609
SL,1.609
LL,1.27
LL,1.35
LL,1.31
LL,1.609
LL,1.609
LL,1.649
LL,1.589
LL,1.769
LL,1.789
LL,1.809
LL,1.968
LL,1.968
LL,2.088
LL,2.068
LL,2.048
LL,2.327
LL,2.447
LL,2.467
LL,2.467
LL,2.507
LL,2.527
LL,2.686
LL,2.786
LL,2.786
LL,2.826
LL,2.706
LL,2.846
LL,2.886
LL,3.025
LL,2.965
LL,2.806
LL,3.105
LL,3.065
LL,3.165
LL,3.165
LL,3.245
LL,3.185
LL,3.285
LL,3.344
LL,3.305
LL,3.424
LL,3.404
LL,3.444
LL,3.484
LL,3.464
LL,3.564
LL,3.624
LL,3.604
LL,3.644
LL,3.644
LL,3.644
LL,3.723
LL,3.803
LL,3.803
LL,3.803
LL,3.823
LL,3.823
LL,3.903
LL,3.983
LL,4.043
LL,4.043
LL,4.062
LL,4.122
LL,4.202
LL,4.202
LL,4.162
LL,4.242
LL,4.302
LL,4.282
LL,4.541
LL,4.621
LL,4.701
LL,5.0
